Date	Close	Open	High	Low	Volume	Chg%
Apr 16, 2021	47,022	46,808	47,097	46,511	23.54K	0.30%
Apr 15, 2021	46,881	46,370	46,973	46,370	21.62K	1.22%
Apr 14, 2021	46,317	46,650	46,659	46,180	12.63K	-0.76%
Apr 13, 2021	46,674	46,202	46,750	46,125	20.25K	1.05%
Apr 12, 2021	46,188	46,333	46,514	46,162	18.01K	-0.34%
Apr 09, 2021	46,344	46,458	46,674	46,085	21.98K	-0.50%
Apr 08, 2021	46,576	46,041	46,620	46,015	21.42K	0.97%
Apr 07, 2021	46,128	45,600	46,180	45,518	21.45K	0.97%
Apr 06, 2021	45,685	45,257	45,730	45,250	17.87K	1.56%
Apr 05, 2021	44,985	44,918	45,050	44,805	0.31K	0.06%
Apr 01, 2021	44,957	44,500	45,002	44,500	0.15K	1.21%
Mar 31, 2021	44,418	43,899	44,529	43,735	0.33K	1.09%
Mar 30, 2021	43,941	43,950	44,200	43,819	1.90K	0.43%
Mar 29, 2021	43,754	44,474	44,560	43,621	11.18K	-1.96%
Mar 26, 2021	44,629	44,652	44,759	44,437	22.63K	-0.22%
Mar 25, 2021	44,726	44,870	45,025	44,610	22.46K	-0.26%
Mar 24, 2021	44,841	44,786	44,880	44,679	16.57K	0.46%
Mar 23, 2021	44,636	44,910	44,984	44,584	19.81K	-0.55%
Mar 22, 2021	44,885	44,922	45,019	44,632	20.26K	-0.27%
Mar 19, 2021	45,008	44,946	45,125	44,818	18.82K	0.15%
Mar 18, 2021	44,942	45,000	45,300	44,625	33.56K	0.21%
Mar 17, 2021	44,848	44,902	45,018	44,750	18.24K	0.06%
Mar 16, 2021	44,820	44,962	45,071	44,775	18.92K	-0.19%
Mar 15, 2021	44,906	44,860	45,038	44,763	21.50K	0.38%
Mar 12, 2021	44,737	44,740	44,779	44,310	32.18K	-0.31%
Mar 11, 2021	44,876	44,950	45,135	44,785	15.84K	0.23%
Mar 10, 2021	44,774	44,750	44,920	44,636	22.09K	-0.16%
Mar 09, 2021	44,844	44,299	44,918	44,280	29.79K	1.38%
Mar 08, 2021	44,233	44,720	44,775	44,163	29.84K	-0.47%
Mar 05, 2021	44,442	44,279	44,499	44,188	0.05K	-0.31%
Mar 04, 2021	44,581	44,686	44,686	44,370	0.01K	-0.31%
Mar 03, 2021	44,721	45,267	45,267	44,472	0.03K	-1.11%
Mar 02, 2021	45,224	44,945	45,431	44,873	0.32K	0.45%
Mar 01, 2021	45,021	46,187	46,188	44,910	5.19K	-1.20%
Feb 26, 2021	45,569	45,911	46,516	45,475	32.96K	-1.12%
Feb 25, 2021	46,085	46,321	46,496	45,976	24.51K	-0.61%
Feb 24, 2021	46,369	46,580	46,715	46,160	21.71K	-0.56%
Feb 23, 2021	46,632	46,890	46,890	46,430	22.89K	-0.32%
Feb 22, 2021	46,782	46,297	46,840	46,125	30.05K	1.49%
Feb 19, 2021	46,095	45,970	46,359	45,805	30.68K	0.11%
Feb 18, 2021	46,046	46,244	46,379	45,955	28.54K	-0.19%
Feb 17, 2021	46,134	46,700	46,709	46,088	34.79K	-1.37%
Feb 16, 2021	46,777	47,118	47,325	46,600	37.74K	-0.72%
Feb 15, 2021	47,118	47,200	47,297	47,064	15.39K	-0.11%
Feb 12, 2021	47,169	47,670	47,670	47,012	30.72K	-0.44%
Feb 11, 2021	47,377	47,742	47,950	47,333	24.86K	-1.02%
Feb 10, 2021	47,863	47,930	48,136	47,711	27.63K	0.09%
Feb 09, 2021	47,818	47,850	48,061	47,651	27.33K	0.19%
Feb 08, 2021	47,726	47,147	47,828	47,064	29.17K	1.59%
Feb 05, 2021	46,978	46,602	47,100	46,601	0.03K	0.61%
Feb 04, 2021	46,695	47,050	47,575	46,501	0.14K	-2.11%
Feb 03, 2021	47,703	47,890	47,925	47,639	0.19K	-0.10%
Feb 02, 2021	47,752	48,344	48,344	47,531	0.38K	-1.39%
Feb 01, 2021	48,424	49,298	49,438	47,425	3.14K	-1.40%
Jan 29, 2021	49,111	48,672	49,490	48,672	27.93K	0.90%
Jan 28, 2021	48,672	48,699	49,248	48,568	28.33K	-0.42%
Jan 27, 2021	48,879	48,919	48,985	48,554	25.14K	-0.54%
Jan 25, 2021	49,144	49,137	49,321	48,936	24.63K	0.03%
Jan 22, 2021	49,131	49,397	49,397	48,711	30.38K	-0.58%
Jan 21, 2021	49,418	49,600	49,743	49,315	23.31K	-0.22%
Jan 20, 2021	49,528	49,097	49,614	48,836	36.37K	1.05%
Jan 19, 2021	49,011	48,918	49,082	48,775	23.14K	0.19%
Jan 18, 2021	48,918	48,701	49,000	48,588	17.92K	0.35%
Jan 15, 2021	48,745	49,277	49,328	48,600	30.09K	-1.00%
Jan 14, 2021	49,238	49,321	49,321	48,807	29.61K	-0.24%
Jan 13, 2021	49,354	49,248	49,497	49,210	21.70K	0.52%
Jan 12, 2021	49,098	49,333	49,620	49,000	28.65K	-0.58%
Jan 11, 2021	49,386	48,835	49,435	48,578	34.63K	0.72%
Jan 08, 2021	49,035	50,818	50,824	48,855	58.39K	-3.70%
Jan 07, 2021	50,918	50,632	51,045	50,632	28.49K	0.74%
Jan 06, 2021	50,545	51,564	51,857	50,468	47.14K	-1.77%
Jan 05, 2021	51,456	51,334	51,549	51,202	0.15K	0.21%
Jan 04, 2021	51,349	50,715	51,493	50,654	0.15K	2.13%
Jan 01, 2021	50,280	50,123	50,280	50,003	2.83K	0.40%
Dec 31, 2020	50,081	49,940	50,139	49,778	0.39K	0.40%
Dec 30, 2020	49,881	49,840	49,950	49,599	3.65K	0.32%
Dec 29, 2020	49,722	49,820	49,899	49,600	13.26K	-0.08%
Dec 28, 2020	49,761	49,900	50,318	49,711	25.62K	-0.05%
Dec 24, 2020	49,787	50,021	50,049	49,630	18.14K	-0.24%
Dec 23, 2020	49,909	49,771	50,020	49,466	26.91K	0.28%
Dec 22, 2020	49,768	50,224	50,287	49,667	24.49K	-0.75%
Dec 21, 2020	50,146	50,199	50,716	49,465	39.39K	0.09%
